,Year,Song,Singer,Lyrics,Genre
10,2010,Forget You,Glee Cast Featuring Gwyneth Paltrow,"Holly (New Directions): I see you driving round town with the guy I love And I'm like ""forget you"" (Oh-oh-oh) I guess the change in my pocket wasn't enough I'm like ""forget you and forget him, too"" Saying if I was richer, I'd still be with ya Huh, now ain't that some shhh (Ain't that some shhh) And although there's pain in my chest I still wish you the best With a ""forget you"" (Oh-oh-oh)  Yeah, I'm sorry I can't afford a Ferrari But that don't mean I can't get you there I guess she's an Xbox and I'm more an Atari Mmh, but the way you play your game ain't fair I pity the fool that falls in love with you  (Oops, she's a gold digger) Well (Just thought you should know it)  Ooh, ooh I've got some news for you Yeah go run and tell your little girlfriend  I see you driving round town with the guy I love And I'm like ""forget you"" (Oh-oh-oh) I guess the change in my pocket wasn't enough I'm like ""forget you and forget him, too"" Saying if I was richer, I'd still be with ya Now ain't that some shhh (Ain't that some shhh) Although there's pain in my chest I still wish you the best With a ""forget you"" (Oh-oh-oh)  Now I know that I had to borrow And beg and steal and lie and cheat Trying to keep ya, trying to please ya Cause being in love with your face ain't cheap Nah, I pity the fool that falls in love with you  (Oops, she's a gold digger) Well (Just thought you should know it)  Ooh, ooh I've got some news for you Oh, I really hate you right now  I see you driving round town with the guy I love And I'm like ""forget you"" (Oh-oh-oh) I guess the change in my pocket wasn't enough I'm like ""forget you and forget him, too"" Saying if I was richer, I'd still be with ya Huh, now ain't that some shhh (Ain't that some shhh) Although there's pain in my chest I still wish you the best With a ""forget you"" (Oh-oh-oh)  Artie and Mercedes (New Directions): Now baby, baby, baby Why'd you wanna, wanna hurt me so bad? (So bad, so bad, so bad) So bad (Mercedes: Yeah) (Artie: Oh) I tried to tell my mamma But she told me ""This is one for your dad"" (Your dad, your dad, your dad) (Mercedes: Yes she did) (Artie: Yes she did) ",
11,2010,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,"[Intro: Usher] Usher, Usher, Usher Yeah, man  [Verse 1: Usher] So we back in the club With our bodies rockin' from Side to side, side-side to side, uh Thank God the week is done I feel like a zombie Gone back to life, back-back to life   [Pre-Chorus: Usher] Hands up, uh Yeah, suddenly, we all got our hands up, uh No control of my body Ain't I seen you before? I think I remember those eyes, eyes, eyes Eyes, eye-eyes  [Chorus: Usher] 'Cause, baby, tonight The DJ got us falling in love again (Love again) Yeah, baby, tonight The DJ got us falling in love again (L-love again-gain) So dance, dance like it's the last, last night Of your life, life, gon' get you right 'Cause, baby, tonight The DJ got us falling in love again (L-love again-gain)  [Verse 2: Usher] Keep downin' drinks like there's no tomorrow There's just right now, now, now Now, now, now, now Gon' set the roof on fire Gonna burn this motherf***** down, down, down Down, down, down, down (Come on)  [Pre-Chorus: Usher] Hands up, uh When the music drops, we both put our hands up Put your hands on my body Swear I've seen you before I think I remember those eyes, eyes, eyes Eyes, eye-eyes  [Chorus: Usher & Pitbull] 'Cause, baby, tonight The DJ got us falling in love again (Love again) Yeah, baby, tonight The DJ got us falling in love again (L-love again-gain, oh, yeah) So dance, dance like it's the last, last night Of your life, life, gon' get you right 'Cause, baby, tonight The DJ got us falling in love again (L-love again-gain, oh) (Usher, don't lie! haha) ",
12,2010,The Time (Dirty Bit),The Black Eyed Peas,"[Intro: will.i.am] This is international Big mega radio smasher  [Chorus: will.i.am, Fergie, Both] I had the time of my life And I've never felt this way before And I swear this is true And I owe it all to you Oh, I had the time of my life And I've never felt this way before And I swear this is true And I owe it all to you-you   [Build: Fergie] You, you, you, you, you, you, you, you You-you-you-you-you-you-you-you Ou-ou-ou-ou-ou-ou-ou-ou-ou-ou-ou-ou  [Drop: will.i.am] Dirty bit Dirty bit   [Verse 1: will.i.am, Fergie] I-I came up in here to rock Light a fire, make it hot I don't wanna take no pictures I just wanna take some shots So come on, let's go, let's lose control Let's do it all night, 'til we can't do it no more People rockin' to the sound Turn it up and watch it pound We gon' rock it to the top Until the roof come burnin' down Yeah, it's hot in here, the temperature  Has got these ladies, gettin' freakier I got freaky, freaky, baby I was chillin' with my ladies I didn't come to get bougie I came here to get crazy I was born to get wild, that's my style If you didn't know that Well, baby, now you know now  [Pre-Chorus: Taboo & Fergie] 'Cause I'm havin' A good time with you I'm tellin' you  [Chorus: will.i.am, Fergie, Both] I had the time of my life And I've never felt this way before And I swear this is true And I owe it all to you Oh, I had the time of my life And I've never felt this way before And I swear this is true And I owe it all to you-you   [Build: Fergie] You, you, you, you, you, you, you, you You-you-you-you-you-you-you-you Ou-ou-ou-ou-ou-ou-ou-ou-ou-ou-ou-ou  [Drop: will.i.am] Dirty bit Dirty bit   [Verse 2: apl.de.ap] All-All these girls, they like my swagger They callin' me Mick Jagger  I be rollin' like a Stone, jet-setter, jet-lagger  We ain't messin' with no maggots Messin' with the baddest Chicks in the club, honey, what's up? Mirror, mirror on the wall Who's the baddest of them all?  Yeah, it's gotta be the apl I'm the mack daddy, y'all  Haters better step back Ladies, download your app I'm the party application, rockin' just like that ",
13,2010,Dynamite,Taio Cruz,"I came to dance, dance, dance, dance (Yeah) I hit the floor 'cause that's my plans, plans, plans, plans (Yeah) I'm wearing all my favorite brands, brands, brands, brands (Yeah)  Give me some space for both my hands, hands, hands, hands, yeah, yeah   'Cause it goes on and on and on And it goes on and on and on, yeah   I throw my hands up in the air sometimes Sayin' ""Ayo, gotta let go"" I wanna celebrate and live my life Sayin' ""Ayo, baby, let's go""  [Post-Chorus] 'Cause we gon' rock this club We gon' go all night We gon' light it up Like it's dynamite 'Cause I told you once Now I told you twice We gon' light it up Like it's dynamite   I came to move, move, move, move (Yeah) Get out the way of me and my crew, crew, crew, crew (Yeah) I'm in the club so I'm gonna do, do, do, do (Yeah) Just what the fuck, came here to do, do, do, do (Yeah) Yeah, yeah   'Cause it goes on and on and on And it goes on and on and on, yeah   I throw my hands up in the air sometimes Sayin' ""Ayo, gotta let go"" I wanna celebrate and live my life Sayin' ""Ayo, baby, let's go""  [Post-Chorus] 'Cause we gon' rock this club We gon' go all night We gon' light it up Like it's dynamite 'Cause I told you once Now I told you twice We gon' light it up Like it's dynamite ",
14,2010,Teenage Dream,Katy Perry,"You think I'm pretty without any makeup on You think I'm funny when I tell the punch line wrong I know you get me, so I let my walls come down, down  Before you met me, I was alright But things were kinda heavy, you brought me to life Now every February, you'll be my Valentine, Valentine    Let's go all the way tonight No regrets, just love We can dance until we die You and I, we'll be young forever   You make me feel like I'm livin' a teenage dream The way you turn me on, I can't sleep Let's run away and don't ever look back Don't ever look back My heart stops when you look at me Just one touch, now, baby, I believe This is real, so take a chance and don't ever look back Don't ever look back    We drove to Cali and got drunk on the beach Got a motel and built a fort out of sheets I finally found you, my missing puzzle piece I'm complete   Let's go all the way tonight No regrets, just love We can dance until we die You and I, we'll be young forever   You make me feel like I'm livin' a teenage dream The way you turn me on, I can't sleep Let's run away and don't ever look back Don't ever look back My heart stops when you look at me Just one touch, now, baby, I believe This is real, so take a chance and don't ever look back Don't ever look back    I'ma get your heart racing in my skin-tight jeans Be your teenage dream tonight Let you put your hands on me in my skin-tight jeans Be your teenage dream tonight (Tonight, tonight, tonight, tonight, tonight, tonight)   (You make me) You make me feel like I'm livin' a teenage dream The way you turn me on, I can't sleep Let's run away and don't ever look back Don't ever look back (No) My heart stops when you look at me Just one touch, now, baby, I believe This is real (Oh), so take a chance and don't ever look back Don't ever look back ",
15,2010,Animal,Neon Trees,"Here we go again I kinda wanna be more than friends So take it easy on me I'm afraid you're never satisfied   Here we go again We're sick like animals, we play pretend You're just a cannibal And I'm afraid I won't get out alive No, I won't sleep tonight   Oh-oh, I want some more Oh-oh, what are you waiting for? Take a bite of my heart tonight Oh-oh, I want some more Oh-oh, what are you waiting for? What are you waiting for? Say goodbye to my heart tonight   Here we are again I feel the chemicals kickin' in It's getting heavy and I wanna run and hide I wanna run and hide I do it every time You're killin' me now And I won't be denied by you The animal inside of you   Oh-oh, I want some more Oh-oh, what are you waiting for? Take a bite of my heart tonight Oh-oh, I want some more Oh-oh, what are you waiting for? What are you waiting for? Say goodbye to my heart tonight   Hush, hush, the world is quiet Hush, hush, we both can't fight it It's us that made this mess Why can't you understand? Woah, I won't sleep tonight (I won't sleep tonight)   Here we go again (Here we go again) Here we go again   Oh-oh, I want some more Oh-oh, what are you waiting for? Take a bite of my heart tonight Oh-oh, I want some more Oh-oh, what are you waiting for? What are you waiting for? What are you waiting— Here we go again (Oh-oh) Here we go again (Oh-oh) Here we go again (Oh-oh) Say goodbye to my heart tonight ",
16,2010,Grenade,Bruno Mars,"Easy come, easy go That's just how you live, oh Take, take, take it all but you never give Should've known you was trouble from the first kiss Had your eyes wide open, why were they open?   (Ooh-ooh) Gave you all I had, and you tossed it in the trash (Ooh-ooh) You tossed it in the trash, you did (Ooh-ooh) To give me all your love is all I ever ask 'cause   What you don't understand is I'd catch a grenade for ya (Yeah, yeah, yeah) Throw my hand on a blade for ya (Yeah, yeah, yeah) I'd jump in front of a train for ya (Yeah, yeah, yeah) You know I'd do anything for ya (Yeah, yeah, yeah)   [Post-Chorus] Oh-oh-oh-oh I would go through all this pain Take a bullet straight through my brain Yes, I would die for ya, baby But you won't do the same  [Interlude] No, no, no, no, oh-oh-oh Uh   Black, black, black, and blue Beat me 'til I'm numb Tell the devil I said, “Hey,” when you get back to where you're from Mad woman, bad woman That's just what you are Yeah, you'll smile in my face then rip the brakes out my car   (Ooh-ooh) Gave you all I had, and you tossed it in the trash (Ooh-ooh) You tossed it in the trash, yes, you did (Ooh-ooh) To give me all your love is all I ever ask 'cause   What you don't understand is I'd catch a grenade for ya (Yeah, yeah, yeah) Throw my hand on a blade for ya (Yeah, yeah, yeah) I'd jump in front of a train for ya (Yeah, yeah, yeah) You know I'd do anything for ya (Yeah, yeah, yeah) ",
17,2010,Singing In The Rain / Umbrella,Glee Cast Featuring Gwyneth Paltrow,"[HOLLY & (ARTIE)] Uh-huh, Uh-huh (Yeah, Holla) Uh-huh, Uh-huh (Good girl gone bad) Uh-huh, Uh-huh (Take three, action) Uh-huh, Uh-huh (Go!)  You have my heart, and we'll never be worlds apart Maybe in magazines, but you'll still be my star Baby, 'cause in the dark, you can't see shiny cars That's when you'll need me there, with you I'll always share, 'cause I  [WILL & (NEW DIRECTIONS BOYS)] I'm singin' in the rain (We'll shine together) Just singin' in the rain (Be here forever) What a glorious feeling (Be a friend) I'm happy again (Stick it out until the end) I'm laughing at clouds (More than ever) So dark, up above (We'll have each other) I'm singing, singing in the rain (Umbrella)  [HOLLY & WILL (with NEW DIRECTIONS)] You can stand under my umbrella (Ella, ella, eh-eh-eh) (Under my umbrella, ella, ella, eh-eh-eh-eh eh-eh)  [HOLLY & WILL, (HOLLY)] These fancy things (Will never come) in between (You're part of my) entity Here for infinity When the war has took its part When the world has dealt it's cards If the hand is hard, together we'll mend your heart, 'cause I'm  [WILL with NEW DIRECTIONS GIRLS, (NEW DIRECTIONS BOYS), {WILL}] Singin' in the rain (We'll shine together) {Just} Singin' in the rain (Be here forever)  [WILL & (NEW DIRECTIONS BOYS)] What a glorious feeling (Be a friend) I'm happy again (Stick it out until the end)  [WILL with NEW DIRECTIONS GIRLS, (NEW DIRECTIONS BOYS), {WILL}] I'm laughing at clouds (More than ever) So dark up above (We'll have each other) {I'm singing} Singing in the rain (My umbrella)  [HOLLY & WILL, (HOLLY with NEW DIRECTIONS)] You can stand under my umbrella (Ella, ella, eh eh eh)  [WILL, (HOLLY with NEW DIRECTIONS)] Just singing in the rain (Under my umbrella) (Ella, ella, eh-eh-eh) What a glorious feeling, I'm happy again (Under my umbrella) (Ella, ella, eh-eh-eh) I'm laughing at clouds, so dark, up above (Under my umbrella) (Ella, ella, eh-eh-eh-eh, eh-eh) I'm singing, singing in the rain  [HOLLY & WILL (with NEW DIRECTIONS), {NEW DIRECTIONS BOYS}] It's raining, raining Ooh, baby it's raining, raining Baby (come here to me, come here to me) It's raining, raining {More than ever} Ooh, baby it's raining, raining Baby (come here to me, come here to me) {My umbrella, My umbrella} ",
18,2010,Club Can't Handle Me,Flo Rida Featuring David Guetta,"[Chorus: Flo Rida & Carmen Michelle Key] You know I know how To make 'em stop and stare as I zone out The club can't even handle me right now Watchin' you watchin' me, I go all out The club can't even handle me right now (Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah) The club can't even handle me right now (Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah) Haha! Can't nothin' handle me right now! I see you, D. Guetta, let's get 'em!  [Verse 1: Flo Rida] Hey I own the night and I don't need no help Gotta be the feeling that Scarface felt Stuntin' gone wild, can't handle this playa Life of the club arrogant like yeah Talk like money so the girls just melt One too many, all on me like twelve Look like cash and they all just stare Bottles, models, standin' on chairs Ball out 'cause that's the business All out, it's so ridiculous Zone out, so much attention Scream out, I'm in the building, hey! They watchin', I know this I'm rockin', I'm rollin' I'm holdin', I know it, you know it  [Chorus: Flo Rida & Carmen Michelle Key] You know I know how To make 'em stop and stare as I zone out The club can't even handle me right now Watchin' you watchin' me, I go all out The club can't even handle me right now (Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah) The club can't even handle me right now (Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)  [Verse 2: Flo Rida] Hey Still feelin' myself, I'm like outta control Can't stop now, more shots, let's go Ten more rounds, can I get a K.O.? Paparazzi tryna make me pose Came to party 'til I can't no more Celebrate 'cause that's all I know Tip the groupies takin' off they clothes Grand finale like Super Bowl Go hard, I run the show That's right, wild out, got money to blow More lights, more ice, when I walk in the door No hype, do it big all over the globe Yeah! I said it, go tell it Confetti, who ready? I'm ready! You ready? Let's get it! ",
19,2010,Please Don't Go,Mike Posner,"Let's run away from these lies Back to yesterday, safe tonight    I feel the sun creepin' up like tick tock I'm tryna keep you in my head, but if not We'll just keep runnin' from tomorrow with our lips locked Yeah, you got me beggin', beggin'   Baby, please don't go If I wake up tomorrow, will you still be here? I don't know if you feel the way I do If you leave, I'm gon' find you Baby, please don't go, go, go, go Baby, please don't go, go, go, go Baby, please don't go, go, go, go Baby, please don't, baby, please don't   Baby, please don't run away From my bed and start another day Stay instead    I feel the sun creepin' up like tick tock I'm tryna keep you in my head, but if not We'll just keep runnin' from tomorrow with our lips locked Yeah, you got me beggin', beggin'   Baby, please don't go If I wake up tomorrow, will you still be here? I don't know if you feel the way I do If you leave, I'm gon' find you Baby, please don't go, go, go, go Baby, please don't go, go, go, go Baby, please don't go, go, go, go Baby, please don't, baby, please don't Baby, please don't   I stay runnin' from tomorrow I stay runnin' from tomorrow Well, I stay runnin' from tomorrow Said, ""I stay runnin' from tomorrow"" (Oh)    Baby, please don't go (Please don't go) If I wake up tomorrow, will you still be here? I don't know if you feel the way I do If you leave (I'm gon', I'm gon', I'm gonna find you) I'm gon' find you Baby, please don't go, go, go, go Baby, please don't go, go, go, go (Don't leave me, leave me) Baby, please don't go, go, go, go Baby, please don't, baby, please don't Baby, please don't run away ",
20,2010,I Like It,Enrique Iglesias Featuring Pitbull,"[Intro: Enrique Iglesias & Pitbull] Wooo One love, one love Enrique Iglesias, haha, Pitbull Y'all know what time it is (Go, go, go) We go set it off tonight, just go (We just go, go, go) Set the club on fire, just go (We just go, go, go) (We just, club is on fire) Enrique, holla at them like  [Verse 1: Enrique Iglesias] Girl, please excuse me if I'm coming too strong But tonight is the night we can really let it go My girlfriend's out of town and I'm all alone Your boyfriend's on vacation and he doesn't have to know   [Pre-Chorus: Enrique Iglesias] No, oh-oh, oh-oh No one can do the things I'm gonna wanna do to you No, oh-oh, oh-oh Shout it loud, scream it loud, let me hear you go  [Chorus: Enrique Iglesias] Baby, I like it The way you move on the floor Baby, I like it Come on and give me some more Oh yes, I like it Screaming like never before Baby, I like it I-I-I like it  [Refrain: Lionel Richie] Party, Karamu , Fiesta, Forever   [Verse 2: Enrique Iglesias] Girl, please excuse me if I'm misbehaving, oh I'm tryna keep my hands off, but you're begging me for more 'Round, 'round, 'round, give a low, low, low Let the time time pass cause we're never getting old  [Pre-Chorus: Enrique Iglesias] No, oh-oh, oh-oh No one can do it better, turn around, I'll give you more  No, oh-oh, oh-oh Shout it loud, scream it loud, let me hear you, go!   [Chorus: Enrique Iglesias] Baby, I like it The way you move on the floor Baby, I like it Come on and give me some more Oh yes, I like it Screaming like never before Baby, I like it I-I-I like it  [Verse 3: Pitbull] Go DJ, that's my DJ I'm a Miami Boy, you know how we play  I ain't playing with you, but I wanna play with you Give me, got me good, now watch me It's a different species, get me in DC Let's party on the White House lawn Tiger Woods times Jesse James Equals Pitbull all night long  Pick up Barack and Michelle and let them know that it's on Pa' fuera, pa' la calle Dale mamita, tirame ese baile Dale mamita, tirame ese baile  I see you watching me, you see me watching you I love the way you move, I like them things you do, like ",
21,2010,Whip My Hair,WILLOW,"I whip my hair back and forth I whip my hair back and forth (Just whip it) I whip my hair back and forth I whip my hair back and forth (Whip it real good) I whip my hair back and forth I whip my hair back and forth I whip my hair back and forth I whip my hair back and forth   Hop up out the bed, turn my swag on  Pay no attention to them haters Because we whip 'em off And we ain’t doin' nothin' wrong So don’t tell me nothin' I’m just trying to have fun So keep the party jumping So what's up? (yeah) And now they don't know what to do We turn our back and whip our hair and just Shake 'em off, shake 'em off Shake 'em off, shake 'em off   Don’t let haters get me off my grind Whip my hair, if I know I’ll be fine Keep fighting until I get there  When I’m down and I feel like giving up (I think again)   I whip my hair back and forth I whip my hair back and forth (Just whip it) I whip my hair back and forth I whip my hair back and forth (Whip it real good) I whip my hair back and forth I whip my hair back and forth (Just whip it) I whip my hair back and forth I whip my hair back and forth (Whip it real good) I whip my hair back and forth I whip my hair back and forth (Just whip it) I whip my hair back and forth I whip my hair back and forth (Whip it real good) I whip my hair back and forth I whip my hair back and forth I whip my hair back and forth I whip my hair back and forth   I'ma get more shine in a little bit Soon as I hit the stage applause I’m hearing it Whether is black stars, black cars I’m feelin it But can't none of them whip it like I do (I) I get to the mm-yeah go hard When they see me pull up I whip it real hard I whip it real hard Real hard I whip it real hard ",
22,2010,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,"[Roscoe Dash] Girl the way you're movin' Got me in a trance DJ turn me up Ladies dis yo jam I'ma sip Moscato And you 'gon lose dem pants Then I'ma throw this money While you do it with no hands Girl drop it to the flo' I love the way yo booty go All I want to do is sit back And watch you move And I'll proceed to throw this cash  [Waka Flocka Flame]  All that ass In yo jeans Can Wale beet? Can Roscoe skeet? Long hair she don't care When she walk she get stares Brown skin or a yellow-bone DJ this my favorite song So I'ma make it thunderstorm Flood warning, Flocka yea Blowin' fuck it I dont care Dreads is flyin' everywhere Tap my partner Roscoe, like bruh I'm drunk as hell, can't you tell? Threw 70 bands, bet 50 stacks Oh fuckin' well I'm tryna hit the hotel With 2 girls that swallow me Take this dick while I'm swallow Moscato got her freaky Hey you got me in a trance Please take off yo pants Pussy pop on her handstand You got me sweatin' Please pass me a fan, damn!  [Roscoe Dash] Girl the way you're movin' Got me in a trance DJ turn me up Ladies dis yo jam I'ma sip Moscato And you 'gon lose dem pants Then I'ma throw this money While you do it with no hands Girl drop it to the flo' I love the way yo booty go All I want to do is sit back And watch you move And I'll proceed to throw this cash  [Wale] She said look ma no hands She said look ma no hands And no darling, I don't dance And, I'm with Roscoe, I'm with Waka I think I deserve a chance I'm a bad motha-fucka Gon' ask some mothafuckas A young handsome mothafucka I sling that wood I just nunchuck 'em And, who you wit And, what's yo name You not hip boo, I'm Wale And, that D.C. shit I rep all day And, my eyes red cuz of all that haze Don't blow my high Let me shine Drumma on the beat Let me take my time Nigga want beef we can take it outside Fight for what broad These hoes ain't mine Is you out yo mind? You out yo league I sweat no bitches Just sweat out weaves Wear out tracks Let me do my thing I got 16, for this Roscoe thing But, I'm almost done Let me get back to it Whole lotta loud And a little backwood Whole lotta money Big tip I would I put her on the train Little engine could, bitch ",
23,2010,Secrets,OneRepublic,"I need another story Something to get off my chest My life gets kinda boring Need something that I can confess  'Til all my sleeves are stained red From all the truth that I've said  Come by it honestly I swear Thought you saw me wink, no I've been on the brink, so   Tell me what you want to hear Something that will light those ears I'm sick of all the insincere So I'm gonna give all my secrets away  This time Don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away   My God, amazing how we got this far It's like we're chasing all those stars Who's driving shiny big black cars And every day I see the news All the problems that we could solve And when a situation rises Just write it into an album Send it straight to gold But I don't really like my flow, no   So tell me what you want to hear Something that will light those ears I'm sick of all the insincere So I'm gonna give all my secrets away This time Don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away    Ooh Got no reason, got no shame Got no family I can blame Just don't let me disappear I'ma tell you everything    So tell me what you want to hear Something that'll light those ears I'm sick of all the insincere So I'm gonna give all my secrets away This time Don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away So tell me what you want to hear Something that'll light those ears I'm sick of all the insincere So I'm gonna give all my secrets away This time Don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away ",
24,2010,Black And Yellow,Wiz Khalifa,"[Intro] Yeah, uh-huh, you know what it is Black and yellow, black and yellow Black and yellow, black and yellow  Yeah, uh-huh, you know what it is Black and yellow, black and yellow Black and yellow, black and yellow    Yeah, uh-huh, you know what it is Everything I do, yeah, I do it big  Yeah, uh-huh, screaming: ""That's nothin'!"" When I pulled off the lot, that's stuntin'  Reppin' my town, when you see me you know everything Black and yellow, black and yellow Black and yellow, black and yellow I put it down from the whip to my diamonds, I'm in Black and yellow, black and yellow Black and yellow, black and yellow    Uh, black stripe, yellow paint  Them niggas scared of it, but them hoes ain't Soon as I hit the club, look at them hoes' face Hit the pedal once, make the floor shake Suede inside, my engine roarin' It’s the big boy, you know what I paid for it  And I got the pedal to the metal  Got you niggas checking game, I’m ballin' out on every level  Hear them haters talk, but there’s nothin' you can tell 'em Just made a million, got another million on my schedule No love for 'em, nigga breaking hearts No keys, push to start   Yeah, uh-huh, you know what it is Everything I do, yeah, I do it big  Yeah, uh-huh, screaming: ""That's nothin'!"" When I pulled off the lot, that's stuntin'  Reppin' my town, when you see me you know everything Black and yellow, black and yellow Black and yellow, black and yellow I put it down from the whip to my diamonds, I'm in Black and yellow, black and yellow Black and yellow, black and yellow    Got a call from my jeweler, this just in And bitches love me ‘cause I'm fucking with their best friends  Not a lesbian, but she a freak though This ain't for one night, I’m shining all week, ho  I’m sippin' Clicquot and rocking yellow diamonds So many rocks up in my watch I can’t tell what the time is  Got a pocket full of big faces  Throw it up, 'cause every nigga that I’m with Taylor'd    Yeah, uh-huh, you know what it is Everything I do, yeah, I do it big  Yeah, uh-huh, screaming: ""That's nothin'!"" When I pulled off the lot, that's stuntin'  Reppin' my town, when you see me you know everything Black and yellow, black and yellow Black and yellow, black and yellow I put it down from the whip to my diamonds, I'm in Black and yellow, black and yellow Black and yellow, black and yellow ",
